Model,Gamma,NumData,SlackProp,AvgASWTEpoch,AvgNoTEpoch,AvgNoShapEpoch,AvgASWTAcc,AvgNoTAcc,AvgNoShapAcc
alexnet,0,13,0.95,141.2,69.4,399.0,0.83735,0.8270299999999999,0.83862
fc1,0.1,5,0.1318,34.3,31.2,399.0,0.38131000000000004,0.37995,0.37067
fc2,0.775,13,0.05,54.5,49.8,399.0,0.38389,0.38275000000000003,0.37873000000000007
GoogLeNet,0.2125,19,0.95,117.8,76.1,399.0,0.93034,0.92316,0.93553
resnet34,0.55,17,0.8682,129.6,82.9,399.0,0.92849,0.92067,0.93148
resnet50,0.2125,19,0.459,181.7,107.7,399.0,0.92767,0.9184100000000001,0.92879
resnet101,0.1,15,0.95,149.8,84.2,399.0,0.9266500000000001,0.91511,0.92981
vgg11,0.6625,19,0.95,138.2,119.4,399.0,0.9006700000000001,0.89808,0.9038
vgg16,0.888,17,0.705,153.0,123.9,399.0,0.9202100000000002,0.9173200000000001,0.92164
vgg19,0.1,17,0.623,124.2,68.1,399.0,0.9176500000000001,0.9071,0.9213899999999999
