Model,Parameters,Gamma,Count,NumData,SlackProp,AvgStdEpoch,AvgASWTEpoch,AvgPatEpoch,AvgMindEpoch,AvgAvgesEpoch,AvgStdAcc,AvgASWTAcc,AvgPatAcc,AvgMindAcc,AvgAvgesAcc
alexnet,23272266,0,20,13,0.95,216.3,127.5,92.5,78.1,159.8,0.8420799999999999,0.8354100000000001,0.8310000000000001,0.83026,0.83818
fc1,1352510,0.1,20,5,0.1318,69.9,70.6,47.7,118.4,150.0,0.38506999999999997,0.38212,0.38161,0.24664000000000003,0.38554000000000005
fc2,2877210,0.775,20,13,0.05,133.0,142.9,38.7,102.1,150.0,0.38844999999999996,0.38588,0.38073999999999997,0.38587000000000005,0.38808
GoogLeNet,6166250,0.2125,20,19,0.95,202.4,88.3,60.7,111.3,154.5,0.9351900000000001,0.9271899999999998,0.9040900000000001,0.92942,0.93292
resnet34,21282122,0.55,20,17,0.8682,187.5,130.1,73.3,112.2,156.5,0.9333499999999999,0.9279899999999998,0.9109,0.92716,0.9315299999999999
resnet50,23520842,0.2125,20,19,0.459,251.2,142.1,47.2,104.8,156.6,0.93245,0.9249700000000001,0.90384,0.9231400000000001,0.9274600000000003
resnet101,42512970,0.1,20,15,0.95,211.1,129.1,45.5,90.3,156.4,0.93148,0.9254899999999999,0.9003099999999999,0.9226800000000001,0.9285
vgg11,9231114,0.6625,20,19,0.95,222.4,145.8,54.1,105.9,155.3,0.9056299999999998,0.89793,0.86208,0.8988799999999999,0.90236
vgg16,14728266,0.888,20,17,0.705,238.8,119.6,60.5,97.1,155.3,0.9240999999999999,0.9169500000000002,0.9055799999999999,0.91587,0.92056
vgg19,20040522,0.1,20,17,0.623,204.6,99.4,68.6,99.1,156.5,0.9223399999999998,0.9143800000000001,0.90534,0.91518,0.91989
