Epoch,ASWS Schedule 1,ASWS Schedule 2,StepLR Schedule,CyclicLR Schedule,ReduceLR Schedule
1,46.81,58.98,61.970000000000006,62.51,59.82999999999999
2,74.1,66.91,55.53,75.66,55.49000000000001
3,67.43,76.92,63.96000000000001,77.56,58.64
4,80.22,80.83,68.62,77.64,73.28
5,72.03,75.8,78.07,82.71,81.97
6,80.51,78.52,75.86,79.46,77.34
7,84.39,78.66,84.9,84.97,85.38
8,85.82,86.45,81.94,85.57,76.3
9,85.53,83.64,80.77,83.59,69.03
10,77.44,86.56,85.41,84.7,82.18
11,86.69,84.91,83.9,86.51,82.12
12,84.07,80.53,85.19,88.48,79.66
13,84.5,86.52,86.85,86.65,82.0
14,87.27,83.44,86.39,86.17,87.7
15,83.1,86.69,87.83,88.55,85.83
16,87.23,87.91,85.6,87.15,87.61
17,86.69,88.65,84.17,86.85,86.41
18,89.29,89.1,88.32,85.81,86.17
19,84.61,85.06,79.28,89.21,86.04
20,87.7,84.92,87.96,88.85,87.83
21,84.63,89.55,89.71,89.15,84.01
22,88.97,88.88,79.41,89.24,89.88
23,85.6,86.26,90.14,89.87,89.67
24,88.79,88.4,89.75,87.07,89.54
25,88.49,90.9,89.19,89.36,89.02
26,88.85,89.64,89.78,89.36,87.98
27,89.86,87.98,89.78,89.92,89.35
28,91.3,86.45,88.77,90.89,86.99
29,84.78,89.9,90.1,90.45,88.56
30,89.52,90.2,91.1,88.09,88.69
31,89.7,87.25,90.9,91.0,88.76
32,91.01,87.02,90.31,90.1,90.47
33,88.26,87.6,90.43,91.4,88.28
34,84.41,90.95,88.4,91.22,89.5
35,85.18,90.62,91.82,90.92,89.69
36,89.4,91.46,91.76,90.62,90.68
37,90.59,91.9,90.37,91.44,91.89
38,90.06,90.28,89.38,89.63,90.25
39,88.95,91.82,91.54,91.42,88.45
40,90.9,90.45,90.17,91.58,91.23
41,91.79,90.93,90.23,91.1,91.5
42,91.17,91.99,91.06,91.58,84.96
43,91.45,90.92,91.8,91.52,91.43
44,91.12,91.24,90.82,90.86,92.01
45,91.33,90.48,92.07,91.66,91.98
46,91.57,92.19,91.8,91.28,91.83
47,91.05,91.31,91.72,91.79,92.75
48,89.48,91.33,91.81,91.38,90.8
49,90.58,92.09,91.82,90.4,90.69
50,91.21,91.67,90.89,91.34,92.13
51,91.42,90.22,93.03,91.54,93.34
52,91.25,88.37,93.04,91.66,93.08
53,91.43,91.82,93.2,91.93,93.34
54,90.17,91.0,93.55,91.08,93.37
55,91.51,91.55,93.18,91.27,93.32
56,91.06,90.78,93.46,90.78,93.35
57,91.83,91.63,93.66,90.97,93.55
58,91.63,92.27,93.63,91.33,93.36
59,92.05,91.34,93.61,91.98,93.41
60,91.8,89.63,93.6,91.83,93.4
61,90.69,91.5,93.69,91.97,93.33
62,91.88,91.96,93.75,91.87,93.47
63,91.33,91.75,93.8,92.53,93.48
64,91.94,90.62,93.77,92.56,93.43
65,92.41,88.78,93.72,92.14,93.44
66,91.73,91.54,93.8,92.03,93.22
67,92.07,91.39,93.69,92.7,93.56
68,91.16,92.02,93.58,92.06,93.56
69,91.49,92.38,93.63,92.51,93.61
70,92.13,91.1,93.8,92.83,93.66
71,88.6,87.63,93.8,91.93,93.72
72,91.92,92.34,93.83,92.14,93.63
73,92.24,91.83,93.84,91.83,93.45
74,92.3,92.57,93.84,92.28,93.55
75,82.27,92.39,93.84,92.31,93.47
76,91.31,92.2,93.86,91.3,93.52
77,92.11,92.38,93.88,92.01,93.55
78,92.14,92.48,93.9,92.33,93.47
79,92.32,92.41,93.92,92.32,93.6
80,92.21,92.79,93.75,91.9,93.57
81,91.67,92.32,93.8,91.46,93.65
82,92.12,92.39,93.71,91.99,93.57
83,92.22,92.92,93.8,92.44,93.64
84,92.35,92.9,93.93,92.2,93.63
85,92.16,92.66,93.85,92.42,93.62
86,92.21,92.55,93.86,92.57,93.77
87,92.11,87.55,93.9,92.89,93.66
88,92.36,91.96,93.82,91.71,93.68
89,92.43,92.69,93.78,92.24,93.63
90,92.5,92.47,93.9,92.75,93.51
91,92.5,92.23,93.74,92.56,93.56
92,91.32,91.75,93.83,92.83,93.64
93,86.15,92.36,93.85,91.46,93.69
94,92.28,92.37,93.83,92.65,93.66
95,92.22,92.5,93.93,92.48,93.82
96,92.77,92.33,93.99,92.64,93.65
97,92.63,91.67,93.92,92.65,93.71
98,92.47,92.54,93.77,92.7,93.68
99,92.77,92.18,93.82,92.97,93.84
100,90.38,91.4,93.99,92.84,93.64
101,92.66,92.93,93.95,92.7,93.66
102,92.63,92.22,94.0,92.96,93.75
103,93.02,92.37,93.89,92.7,93.7
104,92.88,92.69,94.04,92.88,93.76
105,92.86,92.26,94.0,93.07,93.9
106,91.57,92.23,93.96,92.73,93.84
107,92.25,92.88,93.92,92.83,93.76
108,92.71,92.85,93.91,92.51,93.77
109,92.05,92.68,93.98,92.97,93.74
110,91.81,92.88,93.97,92.65,93.66
111,92.82,91.47,94.07,92.87,93.65
112,91.99,92.31,93.89,92.99,93.66
113,92.55,91.93,93.96,92.79,93.62
114,91.19,92.94,93.94,93.06,93.63
115,92.74,92.82,93.83,93.06,93.58
116,89.68,93.08,94.0,92.82,93.66
117,92.41,92.52,93.98,93.1,93.53
118,92.42,92.69,93.94,93.21,93.59
119,92.54,92.55,93.91,92.63,93.55
120,91.18,92.84,93.96,92.32,93.65
121,92.72,92.72,93.94,92.31,93.58
122,92.64,92.61,93.98,92.9,93.71
123,92.67,92.19,93.85,93.03,93.77
124,91.99,92.15,93.82,92.75,93.83
125,91.98,92.97,93.83,93.02,93.78
126,92.05,92.71,93.92,92.88,93.73
127,91.6,92.8,93.92,92.49,93.77
128,91.98,92.68,93.79,91.94,93.7
129,91.88,92.49,93.91,92.64,93.84
130,92.48,93.21,93.93,92.74,93.7
131,91.9,92.43,93.96,92.72,93.65
132,92.2,92.81,93.97,92.64,93.79
133,91.15,92.72,94.02,92.11,93.7
134,92.06,92.88,93.95,92.42,93.63
135,92.23,93.11,94.02,92.56,93.67
136,92.4,92.46,93.91,92.44,93.65
137,92.88,93.01,93.8,91.85,93.68
138,91.88,92.95,93.81,91.71,93.78
139,92.74,93.13,93.86,91.61,93.71
140,92.59,92.76,93.89,92.05,93.72
141,92.97,92.53,93.97,92.42,93.76
142,91.6,93.11,93.87,92.62,93.69
143,91.53,92.97,93.76,92.54,93.82
144,92.53,92.83,93.86,92.78,93.74
145,92.54,93.08,93.86,92.82,93.81
146,92.71,93.15,93.94,93.1,93.76
147,92.75,93.06,93.84,93.33,93.71
148,93.15,93.25,94.02,92.7,93.84
149,92.84,93.44,94.01,93.22,93.78
150,91.83,93.18,93.84,93.41,93.74
151,93.05,93.36,93.88,92.8,93.77
152,93.04,93.05,93.98,93.11,93.8
153,93.11,93.16,93.94,93.13,93.77
154,93.25,92.63,94.0,93.05,93.8
155,93.38,93.4,94.0,93.02,93.75
156,93.34,93.38,93.93,93.0,93.73
157,93.21,93.25,94.02,92.78,93.73
158,93.12,93.13,93.95,93.32,93.81
159,93.08,93.07,93.96,92.48,93.63
160,93.03,92.93,93.94,93.05,93.8
161,93.07,93.16,93.83,93.05,93.79
162,92.84,93.13,93.98,93.13,93.77
163,93.31,93.09,93.81,93.27,93.77
164,93.11,92.86,93.98,93.25,93.72
165,93.28,92.79,94.02,93.14,93.79
166,92.98,92.76,93.98,93.17,93.71
167,92.99,93.01,94.03,93.39,93.78
168,93.13,92.9,93.95,93.42,93.79
169,93.24,92.96,93.99,93.39,93.67
170,93.34,91.83,93.95,93.38,93.76
171,93.19,92.91,93.96,93.54,93.73
172,93.33,92.13,93.98,93.54,93.76
173,93.14,92.88,93.98,93.43,93.75
174,93.06,92.74,93.98,93.04,93.74
175,93.08,92.87,93.95,93.18,93.75
176,92.96,92.21,93.98,93.25,93.77
177,93.17,92.6,93.94,92.9,93.68
178,93.1,92.12,93.89,93.16,93.78
179,93.03,92.24,93.97,92.86,93.78
180,93.07,93.0,94.03,92.64,93.78
181,93.04,92.58,93.96,92.85,93.71
182,93.06,92.96,93.82,92.85,93.77
183,93.17,91.72,93.92,92.76,93.76
184,93.34,92.57,94.0,92.51,93.74
185,93.43,92.87,93.9,92.82,93.69
186,93.41,92.84,93.94,92.92,93.76
187,93.27,93.01,94.03,93.39,93.66
188,93.53,92.29,93.94,92.81,93.8
189,93.36,92.89,93.93,92.96,93.7
190,93.25,93.0,93.98,93.09,93.83
191,93.45,92.96,94.11,93.26,93.65
192,93.32,93.0,93.94,92.95,93.78
193,93.17,92.57,94.05,93.16,93.74
194,93.56,92.62,93.93,92.9,93.71
195,93.57,92.74,93.92,92.99,93.71
196,93.58,93.04,94.0,93.22,93.75
197,93.49,93.23,94.09,93.23,93.74
198,93.47,93.28,93.98,93.18,93.63
199,93.38,93.24,93.93,93.22,93.76
200,93.35,93.28,94.11,93.12,93.78
201,92.65,93.15,93.95,93.0,93.82
202,93.54,93.13,94.0,92.87,93.83
203,93.3,92.98,93.95,93.18,93.84
204,93.37,93.31,94.04,93.19,93.73
205,93.41,93.41,94.09,93.26,93.76
206,93.47,93.14,93.95,93.29,93.79
207,93.42,93.14,93.98,93.23,93.83
208,93.26,93.42,94.01,93.43,93.71
209,93.38,93.43,94.06,93.43,93.69
210,93.3,93.59,93.95,93.33,93.66
211,93.31,93.21,93.93,93.4,93.79
212,93.34,93.19,93.97,93.41,93.86
213,93.34,92.9,94.02,93.37,93.8
214,93.0,93.07,94.02,93.42,93.73
215,93.24,92.78,93.99,93.41,93.78
216,93.25,92.59,93.96,93.3,93.75
