Epoch,ASWS Schedule 1,ASWS Schedule 2,StepLR Schedule,CyclicLR Schedule,ReduceLR Schedule
1,41.2,42.25,38.91,44.78,36.54
2,45.63,53.02,44.68,56.46,49.2
3,54.89000000000001,62.05,45.11,64.3,55.47
4,66.3,69.4,54.78000000000001,68.1,62.36999999999999
5,72.13,73.04,70.29,73.62,59.489999999999995
6,70.9,74.03,74.48,78.56,72.28
7,77.32,79.64,77.5,77.69,73.69
8,80.14,82.21,77.34,81.26,76.19
9,81.3,80.09,81.12,83.92,80.21
10,81.73,84.45,79.27,81.31,81.79
11,81.82,84.51,79.15,85.27,83.71
12,84.51,84.4,80.12,84.66,79.68
13,86.67,82.19,83.54,86.16,85.59
14,84.26,86.18,84.59,85.98,84.23
15,85.88,85.93,86.44,85.08,85.86
16,85.58,87.84,85.46,86.23,80.15
17,86.37,87.17,87.05,87.53,86.08
18,86.81,87.51,86.13,87.99,88.52
19,86.75,88.49,85.99,86.87,85.72
20,85.8,88.34,87.28,87.63,87.81
21,88.1,88.89,84.93,88.75,87.57
22,87.09,87.68,88.64,87.81,88.5
23,88.83,87.41,88.51,89.12,87.66
24,87.11,86.2,88.62,88.32,87.64
25,87.18,88.72,90.1,88.21,82.28
26,86.55,89.58,88.85,89.17,89.22
27,89.33,90.3,87.87,89.7,88.05
28,89.72,90.64,88.9,89.33,88.61
29,87.9,89.07,89.56,89.41,89.07
30,88.99,89.91,89.23,90.7,89.71
31,88.35,89.34,88.5,89.93,86.76
32,90.22,88.51,88.17,89.75,89.18
33,88.81,90.51,89.63,90.22,89.99
34,88.76,89.89,90.15,90.05,88.7
35,89.75,90.4,88.8,89.96,87.41
36,88.37,89.26,90.14,89.83,90.52
37,90.04,89.05,89.4,90.47,85.88
38,90.34,90.75,90.62,90.46,89.27
39,90.38,90.68,89.59,90.85,87.82
40,89.01,90.37,88.92,90.17,92.02
41,90.31,90.56,90.36,90.32,92.39
42,91.05,90.16,89.87,90.82,92.52
43,88.4,90.43,90.69,89.35,92.53
44,89.42,89.86,89.53,90.59,92.47
45,91.21,91.65,90.73,89.39,92.6
46,90.61,91.06,90.76,90.57,92.54
47,91.13,91.05,90.56,90.21,92.64
48,91.17,90.85,91.02,90.13,92.42
49,90.84,90.9,90.2,91.14,92.67
50,90.65,91.14,91.37,89.84,92.66
51,88.48,91.06,92.32,90.94,92.62
52,90.71,89.81,92.34,90.41,92.7
53,90.31,91.98,92.19,90.38,92.51
54,89.98,91.74,92.54,91.18,92.65
55,91.02,90.94,92.45,91.3,92.71
56,91.09,91.66,92.32,91.02,92.63
57,91.02,91.16,92.27,91.47,92.68
58,91.02,92.01,92.12,91.73,92.64
59,91.91,91.79,92.69,91.1,92.65
60,91.71,91.41,92.19,91.39,92.76
61,91.34,91.87,92.27,91.32,92.64
62,91.45,89.51,92.02,91.33,92.65
63,90.97,91.56,92.53,91.13,92.56
64,91.41,91.54,92.42,90.79,92.8
65,90.12,90.57,92.48,91.54,92.74
66,91.56,91.89,92.22,91.41,92.63
67,91.33,91.18,92.22,91.3,92.76
68,91.92,91.25,91.66,91.46,92.79
69,90.75,92.19,92.55,91.52,92.78
70,91.45,92.27,92.35,91.15,92.79
71,90.69,90.98,92.44,91.78,92.69
72,91.7,91.66,92.32,91.17,92.75
73,91.78,91.72,92.18,91.28,92.69
74,91.69,91.46,92.09,91.48,92.69
75,91.12,91.85,92.35,91.15,92.76
76,91.64,91.97,92.39,91.27,92.74
77,91.21,92.15,92.13,91.83,92.76
78,90.59,89.53,92.22,91.43,92.84
79,92.14,91.77,92.48,91.11,92.81
80,91.49,92.28,92.23,91.34,92.73
81,92.02,91.61,92.54,91.4,92.76
82,92.2,92.05,92.69,91.75,92.68
83,92.2,92.46,92.31,91.53,92.75
84,90.96,92.05,91.86,91.85,92.81
85,91.72,91.89,92.08,91.24,92.81
86,92.32,91.68,91.8,91.61,92.74
87,91.91,92.15,92.16,91.61,92.75
88,92.18,91.36,92.49,91.66,92.71
89,92.31,91.44,92.55,91.59,92.7
90,92.26,91.68,92.37,92.02,92.72
91,91.33,92.09,92.38,90.94,92.65
92,92.24,92.57,92.47,91.32,92.86
93,91.45,90.18,92.5,91.74,92.75
94,92.04,92.05,92.66,91.62,92.75
95,92.14,91.74,92.68,91.94,92.86
96,92.18,92.29,92.06,91.69,92.74
97,91.7,91.5,91.85,91.4,92.82
98,91.91,91.47,92.4,91.79,92.81
99,91.89,91.89,92.14,91.49,92.72
100,91.68,92.4,92.34,91.84,92.81
101,92.29,91.76,92.41,91.54,92.86
